Fichero Partido,Género Partido,Fase Partido,ID Partido,Ronda Partido,Flag Exento Partido,Torneo,Tipo Torneo
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_28,1/4 Final,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_29,Semifinal,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_30,Semifinal,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_31,Final,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_PRE-PREVIA.TXT,M,PRE-PREVIA,CHCOR_2015_M_PRE-PREVIA_1,Pre Previa Ronda 1,1,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_PRE-PREVIA.TXT,M,PRE-PREVIA,CHCOR_2015_M_PRE-PREVIA_2,Pre Previa Ronda 1,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_PRE-PREVIA.TXT,M,PRE-PREVIA,CHCOR_2015_M_PRE-PREVIA_3,Pre Previa Ronda 1,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_PRE-PREVIA.TXT,M,PRE-PREVIA,CHCOR_2015_M_PRE-PREVIA_4,Pre Previa Ronda 1,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_PRE-PREVIA.TXT,M,PRE-PREVIA,CHCOR_2015_M_PRE-PREVIA_5,Pre Previa Ronda 1,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_PRE-PREVIA.TXT,M,PRE-PREVIA,CHCOR_2015_M_PRE-PREVIA_6,Pre Previa Ronda 1,0,CHALLENGER CÓRDOBA,CHALLENGER
